Term,IDF
cuci,"7,353790163"
cucu,"5,316908235"
cukup,"6,506492302"
cundang,"7,353790163"
curiga,"7,06610809"
daerah,"5,679813729"
dagang,"7,06610809"
dah,"7,353790163"
dahulu,"7,06610809"
dalam,"6,506492302"
damai,"7,06610809"
dampak,"6,255177874"
dan,"7,353790163"
dana,"5,316908235"
dapat,"6,149817358"
dapet,"7,06610809"
dar,"6,660642982"
darat,"7,06610809"
darurat,"7,353790163"
dasar,"6,660642982"
datang,"5,456670178"
datar,"6,660642982"
daya,"6,660642982"
dayak,"6,37296091"
defisit,"6,660642982"
deh,"6,255177874"
dekat,"6,255177874"
demo,"5,813345122"
dengar,"7,06610809"
denger,"7,06610809"
depan,"4,60225485"
derita,"7,06610809"
desa,"6,842964539"
desain,"6,660642982"
detail,"7,06610809"
dh,"7,353790163"
didik,"6,506492302"
digundulin,"7,353790163"
dikalimantan,"6,842964539"
dikit,"7,06610809"
dilanjutin,"7,353790163"
dinas,"7,353790163"
dipake,"7,353790163"
diri,"5,887453094"
disiapin,"7,353790163"
dki,"6,506492302"
dlu,"7,06610809"
dmn,"7,06610809"
doa,"5,813345122"
doang,"5,813345122"
dominasi,"7,353790163"
dong,"5,316908235"
dongo,"7,759255271"
dpr,"6,255177874"
drainase,"6,842964539"
drun,"7,06610809"
dsana,"7,353790163"
dua,"7,353790163"
dubai,"7,353790163"
duduk,"5,679813729"
duga,"7,353790163"
duit,"4,986666548"
dukung,"4,986666548"
dulu,"5,194305913"
duluan,"7,353790163"
dumay,"7,353790163"
dunia,"5,120197941"
eh,"6,660642982"
ekonomi,"5,274348621"
ekosistem,"6,842964539"
ekspor,"7,759255271"
elit,"7,353790163"
emang,"5,407880014"
enak,"6,37296091"
endingnya,"7,353790163"
engkau,"7,353790163"
entah,"6,37296091"
era,"6,37296091"
eropa,"7,353790163"
eror,"7,353790163"
erti,"7,353790163"
esemka,"7,06610809"
etis,"7,353790163"
fakta,"6,842964539"
fanatik,"7,759255271"
fasilitas,"6,506492302"
fisik,"7,353790163"
fix,"7,353790163"
fokus,"6,506492302"
foya,"7,353790163"
fpi,"7,353790163"
full,"7,353790163"
fun,"7,353790163"
fungsi,"7,06610809"
gada,"7,353790163"
gagal,"6,37296091"
gaji,"6,255177874"
gambar,"7,06610809"
gampang,"6,255177874"
gan,"7,353790163"
ganggu,"7,06610809"
ganjar,"7,353790163"
ganti,"4,926041927"
garong,"7,759255271"
gaya,"6,842964539"
gebu,"7,759255271"
gedung,"5,813345122"
gelap,"7,353790163"
gelar,"6,842964539"
gempa,"7,06610809"
generasi,"6,842964539"
geografis,"7,759255271"
gera,"7,353790163"
gereja,"5,507963472"
gesa,"7,759255271"
gibran,"7,353790163"
gila,"6,255177874"
gin,"6,660642982"
ginian,"7,353790163"
global,"7,353790163"
gni,"7,353790163"
goblog,"7,759255271"
goggle,"7,759255271"
golong,"7,06610809"
good,"6,660642982"
goreng,"7,353790163"
gorong,"7,353790163"
gratis,"7,353790163"
gubernur,"7,353790163"
guna,"5,74435225"
gundul,"6,37296091"
gunung,"6,842964539"
guru,"7,353790163"
gusur,"6,842964539"
gx,"7,759255271"
ha,"7,759255271"
haaa,"7,353790163"
habis,"5,456670178"
hadap,"7,06610809"
hadir,"7,06610809"
haduh,"7,353790163"
haha,"7,353790163"
hahaha,"7,06610809"
haji,"6,506492302"
hakim,"7,353790163"
hal,"7,06610809"
halang,"6,842964539"
hambalang,"5,507963472"
hambat,"5,813345122"
hambur,"6,660642982"
hampir,"7,353790163"
hancur,"5,813345122"
hantu,"6,660642982"
hapus,"7,353790163"
harap,"5,316908235"
harga,"5,679813729"
hari,"5,813345122"
haru,"7,353790163"
harus,"6,054507178"
hasil,"5,316908235"
hati,"5,679813729"
hayalan,"7,353790163"
hebat,"5,887453094"
hektar,"7,06610809"
hemat,"7,353790163"
hendak,"7,353790163"
henti,"5,813345122"
hewan,"7,06610809"
hidup,"5,274348621"
hihihi,"7,759255271"
hijau,"6,149817358"
hilang,"7,06610809"
hina,"7,353790163"
hindar,"7,353790163"
hingga,"7,06610809"
hnya,"7,353790163"
hoax,"7,759255271"
hp,"7,353790163"
href,"7,06610809"
hubung,"6,842964539"
hujan,"7,06610809"
hukum,"7,353790163"
huni,"6,37296091"
hut,"6,842964539"
hutan,"4,278015181"
hutang,"4,325268066"
ibadah,"5,679813729"
ibarat,"7,759255271"
ibu,"4,341528587"
ibukota,"4,58120144"
ide,"6,660642982"
ideal,"7,759255271"
ijazah,"7,353790163"
ikan,"6,842964539"
ikat,"7,353790163"
ikhlas,"7,353790163"
iki,"7,759255271"
ikn,"2,580284662"
ikntapi,"7,353790163"
ikon,"7,353790163"
ikut,"5,194305913"
ilmu,"7,353790163"
imbang,"7,06610809"
imigran,"7,06610809"
impi,"7,353790163"
indah,"6,149817358"
indonesia,"3,210655436"
industri,"5,813345122"
infaq,"7,759255271"
info,"6,37296091"
infrastruktur,"6,37296091"
ingat,"5,887453094"
ingin,"7,353790163"
ingonesia,"7,353790163"
ini,"7,06610809"
insya,"6,842964539"
insyaa,"6,842964539"
internasional,"7,353790163"
inti,"7,06610809"
invasi,"7,353790163"
investasi,"6,37296091"
investor,"5,679813729"
iq,"7,06610809"
is,"7,353790163"
isi,"6,660642982"
islam,"7,06610809"
istana,"5,194305913"
istilah,"7,06610809"
isu,"7,353790163"
it,"7,353790163"
itu,"7,353790163"
iya,"3,624088714"
ja,"7,353790163"
jabat,"5,233526626"
jabodetabek,"7,759255271"
jadi,"3,100544318"
jaga,"6,054507178"
jahat,"7,06610809"
jajah,"6,054507178"
jakarta,"4,540379446"
jalan,"3,798442101"
jalur,"6,149817358"
jaman,"6,660642982"
jamin,"6,842964539"
jangan,"3,986494333"
jangka,"6,842964539"
jangn,"7,353790163"
janji,"6,506492302"
jauh,"5,274348621"
jawa,"4,841484539"
jawab,"6,660642982"
jaya,"5,456670178"
jayaiah,"7,759255271"
jebak,"7,06610809"
jejak,"7,353790163"
jelas,"5,507963472"
jelata,"7,353790163"
jelek,"7,353790163"
jembatan,"5,967495801"
jenis,"7,06610809"
jepang,"6,842964539"
jerit,"6,842964539"
jikalau,"7,353790163"
jilid,"7,06610809"
jin,"7,353790163"
jiran,"7,353790163"
jiwa,"6,660642982"
jngan,"7,353790163"
job,"6,842964539"
joko,"6,660642982"
jokowi,"3,867434973"
jokowidodo,"7,06610809"
joss,"7,353790163"
josss,"7,353790163"
jual,"6,37296091"
juang,"6,506492302"
jujur,"6,660642982"
jumlah,"7,353790163"
justru,"6,149817358"
juta,"6,054507178"
kab,"7,353790163"
kabar,"6,842964539"
kabel,"5,887453094"
kabur,"7,353790163"
kadrun,"5,233526626"
kafir,"7,06610809"
kaga,"6,842964539"
kagak,"6,660642982"
kagum,"6,842964539"
kait,"6,506492302"
kak,"7,353790163"
kakek,"7,759255271"
kalah,"6,255177874"
kalang,"7,353790163"
kalau,"3,489557821"
kali,"6,054507178"
kalian,"5,679813729"
kalimantan,"4,021585652"
kalimat,"6,842964539"
kalsel,"7,353790163"
kalteng,"7,353790163"
kaltim,"5,562030693"
kampanye,"7,06610809"
kampung,"6,37296091"
kan,"5,120197941"
kanan,"7,353790163"
kang,"7,353790163"
kantor,"6,660642982"
kapan,"6,054507178"
kapasitas,"7,353790163"
karakter,"7,353790163"
kardus,"7,759255271"
karya,"7,06610809"
karyawan,"7,759255271"
kasi,"5,967495801"
kasih,"5,361359998"
kasihan,"6,37296091"
