feature_name,idf_weights
elit,7.294035232053513
emang,7.294035232053513
emas,7.0063531596017325
enak,6.195422943385404
endingnya,7.294035232053513
engkau,7.294035232053513
entah,7.0063531596017325
era,6.783209608287523
eropa,7.0063531596017325
eror,7.294035232053513
esemka,6.783209608287523
esok,7.294035232053513
etis,7.294035232053513
fakta,7.0063531596017325
fanatik,7.699500340161678
fasilitas,6.783209608287523
firdaus,7.294035232053513
fix,7.294035232053513
fokus,6.783209608287523
foya,7.294035232053513
freeport,7.294035232053513
full,7.294035232053513
fun,7.294035232053513
fungsi,6.600888051493568
gagal,6.44673737166631
gaji,6.313205979041787
gambar,6.783209608287523
gampang,6.195422943385404
gan,7.0063531596017325
ganggu,7.0063531596017325
ganjar,7.294035232053513
ganti,4.809128582265513
gantung,7.0063531596017325
garong,7.699500340161678
gas,7.0063531596017325
gaya,7.294035232053513
gebu,7.699500340161678
gedung,5.502275762825459
gelap,7.294035232053513
gelar,7.0063531596017325
geliat,7.294035232053513
gempa,7.0063531596017325
generasi,7.0063531596017325
gera,7.294035232053513
gereja,5.3481250829982
gesa,7.699500340161678
gibran,7.294035232053513
gila,6.313205979041787
gilir,7.294035232053513
ginian,7.294035232053513
goblog,7.699500340161678
goggle,7.699500340161678
golong,7.0063531596017325
good,6.600888051493568
goreng,7.0063531596017325
gubernur,7.0063531596017325
guna,5.620058798481842
gundul,6.090062427727577
gunung,6.783209608287523
guru,7.294035232053513
gusur,7.0063531596017325
gx,7.699500340161678
ha,7.699500340161678
haaa,7.294035232053513
habis,5.134550982700141
hadap,7.0063531596017325
haduh,7.294035232053513
haha,7.294035232053513
hahaha,7.0063531596017325
haji,6.600888051493568
hakim,7.294035232053513
hal,7.294035232053513
halang,7.0063531596017325
hambalang,5.396915247167632
hambat,5.994752247923253
hambur,6.600888051493568
hampir,7.294035232053513
hancur,5.502275762825459
hantu,6.600888051493568
hapus,7.294035232053513
harap,5.301605067363307
harga,5.396915247167632
hari,5.907740870933623
haru,7.294035232053513
harus,5.907740870933623
hasil,5.301605067363307
hati,5.827698163260086
hayalan,7.294035232053513
hebat,5.827698163260086
hehe,7.294035232053513
hektar,7.0063531596017325
hemat,7.294035232053513
hendak,7.294035232053513
henti,5.684597319619413
hewan,6.783209608287523
hibur,7.699500340161678
hidup,5.214593690373678
hihihi,7.699500340161678
hijau,5.907740870933623
hilang,6.783209608287523
hina,7.294035232053513
hindar,7.294035232053513
hingga,6.600888051493568
hoax,7.294035232053513
hubung,7.0063531596017325
hujan,6.783209608287523
hukum,7.0063531596017325
huni,6.090062427727577
hut,6.600888051493568
hutan,4.144152278672264
hutang,4.1021880795732315
ibadah,5.502275762825459
ibu,4.403663474157349
ibukota,4.460821887997298
ide,6.600888051493568
ideal,7.699500340161678
ijazah,7.294035232053513
ijin,7.294035232053513
ikan,6.44673737166631
ikat,7.294035232053513
ikhlas,7.294035232053513
iklan,7.294035232053513
ikn,2.501003308895852
ikut,5.060443010546419
ilmu,7.294035232053513
imbang,7.0063531596017325
imigran,7.0063531596017325
impi,7.0063531596017325
indah,5.994752247923253
indonesia,3.099342695997131
industri,5.7535901911063645
info,6.783209608287523
infrastruktur,6.090062427727577
ingat,5.827698163260086
ingin,7.0063531596017325
ini,7.0063531596017325
inovatif,7.294035232053513
insyaa,6.195422943385404
internasional,7.294035232053513
inti,6.600888051493568
investasi,6.44673737166631
investor,5.684597319619413
iq,7.0063531596017325
ir,7.699500340161678
is,7.294035232053513
isi,6.313205979041787
islam,7.0063531596017325
istana,5.173771695853422
istilah,7.0063531596017325
isu,7.294035232053513
itu,6.600888051493568
iya,3.429802890461716
jabat,5.096810654717294
jadi,3.064771351932042
jaga,5.994752247923253
jahat,7.0063531596017325
jajah,6.313205979041787
jakarta,4.349596252887073
jalan,3.767674707437352
jalar,7.294035232053513
jalur,5.907740870933623
jaman,6.44673737166631
jamin,6.783209608287523
jangan,3.787477334733532
jangka,7.0063531596017325
jangn,7.294035232053513
janji,6.313205979041787
jateng,7.294035232053513
jatim,7.294035232053513
jauh,5.301605067363307
jauhjauh,7.294035232053513
jawa,4.585985030951303
jawab,6.313205979041787
jaya,5.3481250829982
jebak,7.294035232053513
jelas,5.502275762825459
jelata,7.294035232053513
jembatan,5.994752247923253
jenis,7.0063531596017325
jepang,7.0063531596017325
jerit,7.294035232053513
jikalau,7.294035232053513
jilid,6.783209608287523
jin,6.600888051493568
jiwa,6.783209608287523
job,6.783209608287523
joko,6.783209608287523
jokowi,3.8179365422182405
jokowidodo,7.294035232053513
jos,6.44673737166631
jual,6.44673737166631
juang,6.600888051493568
jujur,6.783209608287523
jumlah,7.294035232053513
justru,6.313205979041787
juta,5.827698163260086
kab,7.294035232053513
kabar,7.0063531596017325
kabel,5.827698163260086
kabupaten,7.294035232053513
kabur,7.294035232053513
kadrun,5.060443010546419
kafir,7.0063531596017325
kagum,7.0063531596017325
kah,7.0063531596017325
kait,6.313205979041787
kakek,7.699500340161678
kaki,7.294035232053513
kalah,5.994752247923253
kalang,7.294035232053513
kalau,3.3556949183079943
kali,6.090062427727577
kalian,5.620058798481842
kalimantan,3.870858943672583
kalsel,7.294035232053513
kalteng,7.294035232053513
kaltim,5.7535901911063645
kampanye,7.0063531596017325
kampung,6.313205979041787
kan,5.02535169073515
kanan,7.294035232053513
kang,7.294035232053513
kanker,7.294035232053513
kantor,6.44673737166631
kapan,5.994752247923253
kapasitas,7.294035232053513
karakter,7.294035232053513
kardus,7.699500340161678
karma,7.294035232053513
karya,7.0063531596017325
karyawan,7.294035232053513
kasih,5.134550982700141
kasihan,5.684597319619413
kasus,7.0063531596017325
kata,5.060443010546419
kau,5.994752247923253
kaum,6.783209608287523
kawasan,5.907740870933623
kaya,5.173771695853422
kayak,6.600888051493568
kayu,6.600888051493568
kebun,7.294035232053513
kebut,7.294035232053513
kecil,5.994752247923253
kejang,7.0063531596017325
kejar,7.294035232053513
kelak,6.600888051493568
kelapa,7.294035232053513
kelar,7.294035232053513
kelenteng,7.294035232053513
kelola,7.0063531596017325
kelompok,6.783209608287523
keluar,6.44673737166631
keluarga,6.783209608287523
keluh,7.294035232053513
kemarin,7.294035232053513
kembali,7.0063531596017325
kembang,5.907740870933623
kemudian,6.600888051493568
ken,6.090062427727577
kena,7.0063531596017325
kenang,7.294035232053513
kendala,7.0063531596017325
kendali,7.294035232053513
kendara,6.600888051493568
kepala,6.783209608287523
kerah,7.294035232053513
keras,6.313205979041787
keren,5.559434176665407
kereta,5.7535901911063645
keringat,7.294035232053513
kerja,3.395435246957508
kes,6.783209608287523
kesana,6.195422943385404
kesitu,7.294035232053513
ketua,7.294035232053513
khawatir,6.783209608287523
khusus,6.090062427727577
kiamat,7.294035232053513
kiblat,7.294035232053513
kira,5.994752247923253
kirain,7.294035232053513
kiri,7.294035232053513
kirim,7.294035232053513
kkkk,7.0063531596017325
klau,7.294035232053513
know,7.294035232053513
koar,7.294035232053513
kocak,7.294035232053513
kok,4.500827222610997
kolonial,7.294035232053513
komentar,5.907740870933623
kompleks,7.294035232053513
komplot,7.294035232053513
komunis,7.0063531596017325
kondisi,7.294035232053513
konoha,7.0063531596017325
konsep,7.294035232053513
konsorsium,7.294035232053513
konstruksi,7.0063531596017325
kontraktor,6.600888051493568
kontrol,7.294035232053513
kontruksi,6.600888051493568
kopi,7.294035232053513
korban,6.313205979041787
korsel,7.699500340161678
korupsi,4.6549779024382545
koruptor,6.600888051493568
kota,3.8493527384516195
kotor,6.783209608287523
krisis,7.0063531596017325
kritik,6.783209608287523
ku,5.559434176665407
kualitas,6.783209608287523
kuasa,5.994752247923253
kuat,6.090062427727577
kubu,7.294035232053513
kubur,7.294035232053513
kuching,7.699500340161678
kuli,6.195422943385404
kumuh,6.44673737166631
kurang,5.620058798481842
kuras,7.294035232053513
kursi,7.294035232053513
kuta,7.294035232053513
kwkwkw,7.294035232053513
ladang,6.783209608287523
lagi,7.294035232053513
lah,4.755061360995238
lahan,5.827698163260086
lahir,7.0063531596017325
lai,7.0063531596017325
lain,6.313205979041787
lajur,7.294035232053513
laksana,5.559434176665407
laku,6.090062427727577
lalu,6.090062427727577
lama,5.396915247167632
lamar,7.0063531596017325
lambat,6.44673737166631
lancar,3.540617256802006
landas,7.0063531596017325
lang,7.294035232053513
langit,7.294035232053513
langkah,7.294035232053513
langsung,6.44673737166631
lanjut,4.315110076815904
lanjutin,7.294035232053513
lantai,7.294035232053513
lapang,6.195422943385404
larang,6.783209608287523
lari,7.294035232053513
laut,6.44673737166631
lawak,7.0063531596017325
lawan,7.294035232053513
layak,7.294035232053513
lebar,6.44673737166631
lebat,7.0063531596017325
lebih,4.088582427517453
legacy,7.294035232053513
lekas,7.294035232053513
lengkap,7.0063531596017325
lengkung,7.699500340161678
lengser,7.0063531596017325
level,7.0063531596017325
lewat,6.090062427727577
lh,7.699500340161678
lho,6.783209608287523
liar,6.783209608287523
liat,7.0063531596017325
libat,5.684597319619413
lihat,4.187954901330658
like,7.294035232053513
lima,7.294035232053513
limpah,7.0063531596017325
lindung,5.907740870933623
lingkung,6.195422943385404
lingkungn,7.294035232053513
lipat,7.294035232053513
listrik,5.907740870933623
literasi,7.294035232053513
lndonesia,7.294035232053513
logika,7.0063531596017325
lokal,6.313205979041787
lokasi,6.783209608287523
loker,6.600888051493568
lol,7.294035232053513
lomba,7.294035232053513
lowong,7.294035232053513
luar,4.958660316236477
luarbiasa,7.294035232053513
luas,5.907740870933623
luhut,7.294035232053513
lumayan,6.313205979041787
lunas,7.0063531596017325
lupa,5.620058798481842
maaf,7.294035232053513
macet,5.620058798481842
mafia,7.0063531596017325
mah,6.195422943385404
maha,7.0063531596017325
mahal,6.195422943385404
main,6.44673737166631
maju,3.7775270038803637
makan,5.827698163260086
makanya,6.090062427727577
makhmud,7.294035232053513
makin,4.6314474050280605
